Column1,account_id,bank_district_id,acc_opening_date,LOR in months,client_id,nbr_users,client_district_id,birth_year,birth_day,birth_month,gender,Age_group,loan_amount,loan_duration,loan_monthly_pmts,loan_year,loan_month,loan_day,loan_granted_in_97,loan_category,loan_default,loan_status,Contract_not_finished,Contract_finished,loan_months_remaining,loan_amount_remaining,loan_recency,card_type,issued_date_card,issued_yr_card,card_issued_in_97,district_id,district_name,region,nbr_inhabitants,ratio_urban_inh,average_salary,unemployment_rate_96,nbr_entp_1000_inh,unemployment_rate_missing,nbr_crimes_missing,crime_rate_96,SEC,High-Class,Low-Class,Middle-Class,last_trans_date,recency,freq_total_LTM,freq_credit_LTM,freq_withdrawal_LTM,end_balance,total_credit_LTM,total_withdrawal_LTM,avg_credit_LTM,avg_withdrawal_LTM,freq_total_LSM,freq_credit_LSM,freq_withdrawal_LSM,total_credit_LSM,total_withdrawl_LSM,avg_credit_LSM,avg_withdrawal_LSM,freq_total_LM,freq_credit_LM,freq_withdrawal_LM,total_credit_LM,total_Withdrawal_LM,avg_credit_LM,avg_withdrawal_LM,Total_order_amount,No_of_orders,order_bank_Is_AB,order_bank_Is_CD,order_bank_Is_EF,order_bank_Is_GH,order_bank_Is_IJ,order_bank_Is_KL,order_bank_Is_MN,order_bank_Is_OP,order_bank_Is_QR,order_bank_Is_ST,order_bank_Is_UV,order_bank_Is_WX,order_bank_Is_YZ,order_k_Is_leasing,order_k_Is_insurrance,order_k_Is_household,order_k_Is_loan,order_k_Is_NO CHAR,total_savings
0,576,55,01-01-1993,47,692,2,74,1936,11,1,F,60,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,,NA,,0,0,55,Brno - venkov,south Moravia,157042,33.9,8743,2.43,111,0,0,24.79591447,Low-Class,0,1,0,31-12-1996,0 days,62,24,38,38501.6,76097.3,70419.2,3170.720833,1853.136842,30,12,18,38092.6,30309.6,3174.383333,1683.866667,5,2,3,6363.1,4426.6,3181.55,1475.533333,3662,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,5678.1
1,3818,74,01-01-1993,47,4601,2,1,1935,2,4,M,60,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,,NA,,0,0,74,Ostrava - mesto,north Moravia,323870,100,10673,5.44,100,0,0,56.64927286,High-Class,1,0,0,31-12-1996,0 days,98,25,73,49023.8,234806.4,223535.2,9392.256,3062.126027,47,12,35,113995.6,111177.6,9499.633333,3176.502857,8,2,6,26253.9,22109.6,13126.95,3684.933333,9135,3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,11271.2
2,704,55,01-01-1993,47,844,2,22,1945,14,1,M,50,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,,NA,,0,0,55,Brno - venkov,south Moravia,157042,33.9,8743,2.43,111,0,0,24.79591447,Low-Class,0,1,0,31-12-1996,0 days,84,24,60,40768.7,228514.9,218531.2,9521.454167,3642.186667,40,12,28,114299.2,101015.6,9524.933333,3607.7,8,2,6,26376.6,19172.6,13188.3,3195.433333,3338,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,9983.7
3,2378,16,01-01-1993,47,2873,1,16,1975,24,3,F,20,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,,NA,,0,0,16,Jindrichuv Hradec,south Bohemia,93931,56.9,8427,1.54,107,0,0,20.36601335,Middle-Class,0,0,1,31-12-1996,0 days,83,34,49,91481.6,664545.4,633310.2,19545.45294,12924.69796,48,21,27,429897.8,401159.6,20471.32381,14857.76296,9,4,5,69652.9,75226.6,17413.225,15045.32,9612,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,31235.2
4,2632,24,02-01-1993,47,3177,1,24,1938,12,8,M,50,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,,NA,,0,0,24,Karlovy Vary,west Bohemia,122603,80,8991,2.01,128,0,0,43.00873551,High-Class,1,0,0,31-12-1996,0 days,98,24,74,26687.9,186658.9,191071.2,7777.454167,2582.043243,45,12,33,93310.5,83085.6,7775.875,2517.745455,8,2,6,21506.3,15697.6,10753.15,2616.266667,4383,3,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,1,-4412.3
5,1972,77,02-01-1993,47,2397,1,46,1918,14,7,M,70,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,,NA,,0,0,77,Vsetin,north Moravia,148545,53.5,8909,5.56,113,0,0,24.16776061,Middle-Class,0,0,1,31-12-1996,0 days,61,24,37,26884.6,64589.5,60917.2,2691.229167,1646.410811,27,12,15,32330.5,22863.6,2694.208333,1524.24,5,2,3,5407.6,3350.6,2703.8,1116.866667,2736,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3672.3
6,1539,1,03-01-1993,47,1866,1,64,1942,11,6,F,50,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,,NA,,0,0,1,Hl.m. Praha,Prague,1204953,100,12541,0.43,167,0,0,82.24968111,High-Class,1,0,0,31-12-1996,0 days,82,28,54,10106.6,403412,405665,14407.57143,7512.314815,45,14,31,233924.9,240102,16708.92143,7745.225806,8,3,5,37384.2,40448,12461.4,8089.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2253
7,793,47,03-01-1993,47,950,2,76,1965,12,4,F,30,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,,NA,,0,0,47,Pardubice,east Bohemia,162580,72.8,9538,1.81,111,0,0,33.2759257,Middle-Class,0,0,1,31-12-1996,0 days,87,24,63,27974.7,42023.3,36249.2,1750.970833,575.384127,42,12,30,21061.9,17739.6,1755.158333,591.32,7,2,5,3516.3,2461.6,1758.15,492.32,2267,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,5774.1
8,2484,74,03-01-1993,47,2999,1,74,1979,24,3,F,10,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,,NA,,0,0,74,Ostrava - mesto,north Moravia,323870,100,10673,5.44,100,0,0,56.64927286,High-Class,1,0,0,31-12-1996,0 days,107,24,83,22636.9,193219.8,195715.2,8050.825,2358.014458,51,12,39,96649.9,96527.6,8054.158333,2475.066667,9,2,7,22269.6,24264.6,11134.8,3466.371429,4870,4,0,0,0,1,0,0,0,2,0,1,0,0,0,0,1,1,0,2,-2495.4
9,1695,76,03-01-1993,47,2058,1,76,1971,2,3,M,20,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,,NA,,0,0,76,Sumperk,north Moravia,127369,51.2,8369,5.88,107,0,0,22.03832958,Middle-Class,0,0,1,31-12-1996,0 days,80,36,44,89630.9,432463.5,403130.2,12012.875,9162.05,35,18,17,207795.4,148679.6,11544.18889,8745.858824,8,4,4,72863.4,30872.6,18215.85,7718.15,14658,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,29333.3
