airport_name,alt,lon,Delay
Aberdeen Regional Airport,1302,-98.4218,92303
Abilene Rgnl,1791,-99.681897,92303
Abraham Lincoln Capital,597,-89.677889,92303
Acadiana Rgnl,24,-91.883896,92303
Adak Airport,18,-176.646,92303
Adams Fld,262,-92.224306,92303
Addison,644,-96.8364478,92303
Adirondack Regional Airport,1663,-74.2062,92303
Akhiok Airport,44,-154.1825,92303
Akiak Airport,30,-161.230556,92303
Akron Canton Regional Airport,1228,-81.4421944,92303
Akron Fulton Intl,1067,-81.466917,92303
Akutan Seaplane Base,0,-165.785,92303
Alakanuk Airport,10,-164.66,92303
Alamogordo White Sands Regional Airport,4200,-105.991,92303
Albany Intl,285,-73.801692,92303
Albert J Ellis,94,-77.612139,92303
Albert Whitted,7,-82.626972,92303
Albuquerque International Sunport,5355,-106.6091944,92303
Aleknagik Airport,66,-158.618,92303
Alexander Field South Wood County Airport,1021,-89.8381412,92303
Alexandria,1,-77.0621,92303
Alexandria Intl,89,-92.549833,92303
Alice Intl,178,-98.026944,92303
Alitak Seaplane Base,0,-154.247778,92303
All Airports,25,-77.035278,92303
All Airports,31,-74.005833,92303
All Airports,596,-87.631667,92303
Allakaket Airport,441,-152.6222,92303
Allegheny County Airport,1252,-79.9302,92303
Allen Aaf,1291,-145.721642,92303
Alliance Municipal Airport,3931,-102.803889,92303
Alpena County Regional Airport,689,-83.5603,92303
Altoona Blair Co,1504,-78.320022,92303
Altus Afb,1382,-99.266681,92303
Ambler Airport,334,-157.8575,92303
Amherst Amtrak Station AMM,258,-72.511389,92303
Amook Bay Seaplane Base,0,-153.815278,92303
Anacortes Airport,241,-122.6625,92303
Anaktuvuk Pass Airport,2103,-151.743,92303
Anderson Rgnl,782,-82.709389,92303
Andrau Airport,80,-95.35,92303
Andrews Afb,280,-76.867028,92303
Angelina Co,296,-94.75,92303
Angoon Seaplane Base,0,-134.585,92303
Aniak Airport,88,-159.543,92303
Ankeny Regl Airport,910,-93.566389,92303
Ann Arbor Municipal Airport,839,-83.444418,92303
Annette Island,119,-131.572233,92303
Anniston Metro,612,-85.858111,92303
Anvik Airport,309,-160.191,92303
Apalachicola Regional Airport,20,-85.0274416,92303
Apopka,143,-81.581667,92303
Appleton,680,-88.507576,92303
Aransas County Airport,24,-97.0436944,92303
Arcata,221,-124.108611,92303
Arctic Village Airport,2092,-145.579,92303
Ardmore Muni,762,-97.008889,92303
Arkansas Intl,254,-89.943956,92303
Arlington Municipal,628,-97.0942778,92303
Arnold Palmer Regional Airport,1185,-79.4048,92303
Arthur Dunn Airpark,30,-80.83541,92303
Asheville Regional Airport,2165,-82.541806,92303
Ashland County Airport,1206,-82.2556389,92303
Aspen Pitkin County Sardy Field,7820,-106.869,92303
Astoria Regional Airport,15,-123.878694,92303
Athens Ben Epps Airport,808,-83.3263,92303
Atka Airport,56,-174.206389,92303
Atlanta Regional Airport - Falcon Field,808,-84.5718333,92303
Atlantic City Intl,75,-74.577167,92303
Atlantic City Rail Terminal,8,-74.442,92303
Atmautluak Airport,18,-162.273056,92303
Atqasuk Edward Burnell Sr Memorial Airport,96,-157.436,92303
Auburn University Regional,777,-85.2604,92303
Augusta Rgnl At Bush Fld,144,-81.9645,92303
Augusta State,352,-69.797317,92303
Austin Bergstrom Intl,542,-97.669889,92303
Austin Straubel Intl,695,-88.129589,92303
Avalon,1602,-118.415833,92303
Bagdad Airport,4183,-113.170195,92303
Baldwin County Airport,385,-83.2414139,92303
Baltimore Washington Intl,146,-76.668333,92303
Bamberg County Airport,231,-81.1084167,92303
Bangor Intl,192,-68.828139,92303
Banks Airport,100,-68.4281667,92303
Baraboo Wisconsin Dells Airport,979,-89.7709266,92303
Barking Sands Pmrf,23,-159.785,92303
Barkley Regional Airport,410,-88.7729583,92303
Barksdale Afb,166,-93.662674,92303
Barnes Municipal,270,-72.715875,92303
Barnstable Muni Boardman Polando Fld,55,-70.280356,92303
Barrow County Airport,943,-83.6674167,92303
Barter Island Lrrs,2,-143.581867,92303
Bartow Municipal Airport,125,-81.7834,92303
Barwick Lafayette Airport,777,-85.2903319,92303
Baton Rouge Metro Ryan Fld,70,-91.149639,92303
Baudette Intl,1086,-94.612222,92303
Beale Afb,113,-121.436567,92303
Beaufort,37,-80.723161,92303
Beaumont Municipal,32,-94.2150967,92303
Beauregard Rgnl,202,-93.339917,92303
Beaver Airport,359,-147.406667,92303
Beaver Falls,1253,-80.3914444,92303
Beech Factory Airport,1409,-97.2149167,92303
Bellingham Intl,170,-122.537528,92303
Bemidji Regional Airport,1391,-94.934722,92303
Bermuda Dunes Airport,73,-116.2748133,92303
Bert Mooney Airport,5550,-112.497472,92303
Bessemer,700,-86.5558,92303
Bethel,121,-161.838,92303
Bettles,644,-151.529056,92303
Beverly Municipal Airport,107,-70.9161444,92303
Bicycle Lake Aaf,2350,-116.630031,92303
Big Bear City,6725,-116.8560278,92303
Big Mountain Afs,663,-155.258822,92303
Big Timber Airport,4492,-109.9811111,92303
Biggs Aaf,3948,-106.380039,92303
