airport_name,alt,lon,lat,Delay
Aberdeen Regional Airport,1302,-98.4218,45.4491,2257174
Abilene Rgnl,1791,-99.681897,32.411319,2257174
Abraham Lincoln Capital,597,-89.677889,39.8441,2257174
Acadiana Rgnl,24,-91.883896,30.037758,2257174
Adak Airport,18,-176.646,51.878,2257174
Adams Fld,262,-92.224306,34.729444,2257174
Addison,644,-96.8364478,32.9685594,2257174
Adirondack Regional Airport,1663,-74.2062,44.3853,2257174
Akhiok Airport,44,-154.1825,56.938611,2257174
Akiak Airport,30,-161.230556,60.902778,2257174
Akron Canton Regional Airport,1228,-81.4421944,40.9160833,2257174
Akron Fulton Intl,1067,-81.466917,41.0375,2257174
Akutan Seaplane Base,0,-165.785,54.1325,2257174
Alakanuk Airport,10,-164.66,62.68,2257174
Alamogordo White Sands Regional Airport,4200,-105.991,32.8399,2257174
Albany Intl,285,-73.801692,42.748267,2257174
Albert J Ellis,94,-77.612139,34.829164,2257174
Albert Whitted,7,-82.626972,27.765111,2257174
Albuquerque International Sunport,5355,-106.6091944,35.0402222,2257174
Aleknagik Airport,66,-158.618,59.2826,2257174
Alexander Field South Wood County Airport,1021,-89.8381412,44.3606456,2257174
Alexandria,1,-77.0621,38.806346,2257174
Alexandria Intl,89,-92.549833,31.3274,2257174
Alice Intl,178,-98.026944,27.740889,2257174
Alitak Seaplane Base,0,-154.247778,56.899444,2257174
All Airports,25,-77.035278,38.889444,2257174
All Airports,31,-74.005833,40.714167,2257174
All Airports,596,-87.631667,41.883611,2257174
Allakaket Airport,441,-152.6222,66.5519,2257174
Allegheny County Airport,1252,-79.9302,40.3544,2257174
Allen Aaf,1291,-145.721642,63.994547,2257174
Alliance Municipal Airport,3931,-102.803889,42.053333,2257174
Alpena County Regional Airport,689,-83.5603,45.0781,2257174
Altoona Blair Co,1504,-78.320022,40.296372,2257174
Altus Afb,1382,-99.266681,34.667067,2257174
Ambler Airport,334,-157.8575,67.106389,2257174
Amherst Amtrak Station AMM,258,-72.511389,42.375,2257174
Amook Bay Seaplane Base,0,-153.815278,57.471389,2257174
Anacortes Airport,241,-122.6625,48.498889,2257174
Anaktuvuk Pass Airport,2103,-151.743,68.1336,2257174
Anderson Rgnl,782,-82.709389,34.494583,2257174
Andrau Airport,80,-95.35,29.43,2257174
Andrews Afb,280,-76.867028,38.810806,2257174
Angelina Co,296,-94.75,31.234014,2257174
Angoon Seaplane Base,0,-134.585,57.503611,2257174
Aniak Airport,88,-159.543,61.5816,2257174
Ankeny Regl Airport,910,-93.566389,41.691389,2257174
Ann Arbor Municipal Airport,839,-83.444418,42.132274,2257174
Annette Island,119,-131.572233,55.042436,2257174
Anniston Metro,612,-85.858111,33.588167,2257174
Anvik Airport,309,-160.191,62.6467,2257174
Apalachicola Regional Airport,20,-85.0274416,29.7276066,2257174
Apopka,143,-81.581667,28.707222,2257174
Appleton,680,-88.507576,44.257526,2257174
Aransas County Airport,24,-97.0436944,28.0862222,2257174
Arcata,221,-124.108611,40.978111,2257174
Arctic Village Airport,2092,-145.579,68.1147,2257174
Ardmore Muni,762,-97.008889,34.300833,2257174
Arkansas Intl,254,-89.943956,35.964347,2257174
Arlington Municipal,628,-97.0942778,32.6638611,2257174
Arnold Palmer Regional Airport,1185,-79.4048,40.2759,2257174
Arthur Dunn Airpark,30,-80.83541,28.622552,2257174
Asheville Regional Airport,2165,-82.541806,35.436194,2257174
Ashland County Airport,1206,-82.2556389,40.9029722,2257174
Aspen Pitkin County Sardy Field,7820,-106.869,39.2232,2257174
Astoria Regional Airport,15,-123.878694,46.157972,2257174
Athens Ben Epps Airport,808,-83.3263,33.9486,2257174
Atka Airport,56,-174.206389,52.220278,2257174
Atlanta Regional Airport - Falcon Field,808,-84.5718333,33.35725,2257174
Atlantic City Intl,75,-74.577167,39.457583,2257174
Atlantic City Rail Terminal,8,-74.442,39.3665,2257174
Atmautluak Airport,18,-162.273056,60.866667,2257174
Atqasuk Edward Burnell Sr Memorial Airport,96,-157.436,70.4673,2257174
Auburn University Regional,777,-85.2604,32.3691,2257174
Augusta Rgnl At Bush Fld,144,-81.9645,33.369944,2257174
Augusta State,352,-69.797317,44.320647,2257174
Austin Bergstrom Intl,542,-97.669889,30.194528,2257174
Austin Straubel Intl,695,-88.129589,44.485072,2257174
Avalon,1602,-118.415833,33.405,2257174
Bagdad Airport,4183,-113.170195,34.5958528,2257174
Baldwin County Airport,385,-83.2414139,33.154225,2257174
Baltimore Washington Intl,146,-76.668333,39.175361,2257174
Bamberg County Airport,231,-81.1084167,33.3045278,2257174
Bangor Intl,192,-68.828139,44.807444,2257174
Banks Airport,100,-68.4281667,44.1653889,2257174
Baraboo Wisconsin Dells Airport,979,-89.7709266,43.5217843,2257174
Barking Sands Pmrf,23,-159.785,22.022833,2257174
Barkley Regional Airport,410,-88.7729583,37.0602875,2257174
Barksdale Afb,166,-93.662674,32.50182,2257174
Barnes Municipal,270,-72.715875,42.1579472,2257174
Barnstable Muni Boardman Polando Fld,55,-70.280356,41.669336,2257174
Barrow County Airport,943,-83.6674167,33.9828611,2257174
Barter Island Lrrs,2,-143.581867,70.133989,2257174
Bartow Municipal Airport,125,-81.7834,27.9434,2257174
Barwick Lafayette Airport,777,-85.2903319,34.6884792,2257174
Baton Rouge Metro Ryan Fld,70,-91.149639,30.533167,2257174
Baudette Intl,1086,-94.612222,48.728444,2257174
Beale Afb,113,-121.436567,39.136089,2257174
Beaufort,37,-80.723161,32.477411,2257174
Beaumont Municipal,32,-94.2150967,30.0702044,2257174
Beauregard Rgnl,202,-93.339917,30.831722,2257174
Beaver Airport,359,-147.406667,66.362222,2257174
Beaver Falls,1253,-80.3914444,40.7724722,2257174
Beech Factory Airport,1409,-97.2149167,37.6939167,2257174
Bellingham Intl,170,-122.537528,48.792694,2257174
Bemidji Regional Airport,1391,-94.934722,47.510722,2257174
Bermuda Dunes Airport,73,-116.2748133,33.7484375,2257174
Bert Mooney Airport,5550,-112.497472,45.954806,2257174
Bessemer,700,-86.5558,33.1876,2257174
Bethel,121,-161.838,60.779778,2257174
Bettles,644,-151.529056,66.913944,2257174
Beverly Municipal Airport,107,-70.9161444,42.584141,2257174
Bicycle Lake Aaf,2350,-116.630031,35.280531,2257174
Big Bear City,6725,-116.8560278,34.2637778,2257174
Big Mountain Afs,663,-155.258822,59.361247,2257174
Big Timber Airport,4492,-109.9811111,45.8063889,2257174
Biggs Aaf,3948,-106.380039,31.849528,2257174
Billings Logan International Airport,3652,-108.537654,45.80921,2257174
Birch Creek Airport,450,-145.815319,66.256708,2257174
Birmingham Intl,644,-86.75355,33.562942,2257174
Bisbee Douglas Intl,4154,-109.603667,31.469028,2257174
Bishop International,782,-83.743629,42.965424,2257174
Bismarck Municipal Airport,1661,-100.757931,46.775842,2257174
Black Hills Airport-Clyde Ice Field,3931,-103.7860053,44.4811407,2257174
Black Rock,6454,-108.791778,35.083228,2257174
Blakely Island Airport,0,-122.80243,48.56025,2257174
Block Island State Airport,108,-71.577778,41.168056,2257174
Bloyer Field,966,-90.4806111,43.9762222,2257174
Blue Grass,979,-84.605889,38.0365,2257174
Blythe Airport,399,-114.716889,33.619167,2257174
Bob Baker Memorial Airport,166,-160.436667,66.975833,2257174
Bob Hope,778,-118.358667,34.200667,2257174
Bob Sikes,213,-86.522111,30.778833,2257174
Boca Raton,13,-80.107694,26.3785,2257174
Boeing Fld King Co Intl,21,-122.301947,47.53,2257174
Boire Field Airport,199,-71.5147778,42.78175,2257174
Boise Air Terminal,2871,-116.222861,43.564361,2257174
Bolton Field,905,-83.136944,39.901111,2257174
Boone Co,1365,-93.154728,36.261519,2257174
Borrego Valley Airport,520,-116.3209722,33.2590278,2257174
Boston Back Bay Station,20,-71.075,42.3478,2257174
Boulder City Municipal Airport,2201,-114.514,35.5651,2257174
Boulder Municipal,5288,-105.225833,40.039444,2257174
Bowerman Field,18,-123.9365556,46.9711944,2257174
Bowling Green-Warren County Regional Airport,547,-86.4196667,36.9645278,2257174
Bowman Fld,546,-85.663722,38.228,2257174
Braceville Airport,900,-80.9692572,41.2111675,2257174
Brackett Field,1014,-117.7817778,34.0916667,2257174
Bradford Regional Airport,2143,-78.6401,41.8031,2257174
Bradley Intl,173,-72.683222,41.938889,2257174
Bradshaw Aaf,6190,-155.553717,19.760056,2257174
Brainerd Lakes Rgnl,1226,-94.138078,46.398308,2257174
Branch County Memorial Airport,959,-85.0522935,41.9335691,2257174
Brandywine Airport,466,-75.3455,39.5924,2257174
Branson LLC,1302,-93.200556,36.531994,2257174
Bremerton National,444,-122.764814,47.490244,2257174
Brevig Mission Airport,35,-166.465833,65.331389,2257174
Brigham City,4229,-112.062,41.552,2257174
Brookings Regional Airport,1648,-96.8169,44.3048,2257174
Brooks Field Airport,941,-84.9554443,42.2511932,2257174
Brown Field Municipal Airport,526,-116.9801611,32.5722722,2257174
Brownsville South Padre Island Intl,22,-97.425861,25.906833,2257174
Brunswick Golden Isles Airport,26,-81.4665,31.2588,2257174
Bryant Ahp,378,-149.653119,61.266381,2257174
Bryce Canyon,7590,-112.145806,37.706444,2257174
Buchanan Field Airport,26,-122.0568889,37.9896667,2257174
Buckeye Municipal Airport,1033,-112.68618,33.420417,2257174
Buckland Airport,31,-161.149167,65.981667,2257174
Buckley Afb,5662,-104.75166,39.701668,2257174
Buffalo Niagara Intl,724,-78.732167,42.940525,2257174
Burke Lakefront Airport,583,-81.683333,41.5175,2257174
Burlington Intl,335,-73.153278,44.471861,2257174
Burlington-Alamance Regional Airport,617,-79.4748892,36.0485433,2257174
Burrello-Mechanicville Airport,195,-73.66845,42.893133,2257174
Butts Aaf,5838,-104.756581,38.678394,2257174
Cairo-Grady County Airport,265,-84.1547353,30.8879767,2257174
Caldwell Essex County Airport,172,-74.2813611,40.8752222,2257174
Calexico Intl,4,-115.51333,32.669502,2257174
Cambridge Municipal Airport,799,-81.5775833,39.9750278,2257174
Camp Mabry Austin City,0,-97.7666,30.31666,2257174
Campbell Aaf,573,-87.496183,36.668567,2257174
Cannon Afb,4295,-103.322147,34.382775,2257174
