,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,popularity,artist_name,song_name,lyrics,lyric link,Mean.Timbre,Median.Timbre,Variance.Timbre,Skewness.Timbre,Min.Timbre,Max.Timbre,Mean.Pitches,Median.Pitches,Variance.Pitches,Skewness.Pitches,Min.Pitches,Max.Pitches,artist_followers
1,017PF4Q3l4DBUiWoXk4OWT,0.73,0.729,4,-3.434,0,0.0884,0.167,1.39E-06,0.349,0.467,113.011,audio_features,spotify:track:017PF4Q3l4DBUiWoXk4OWT,https://api.spotify.com/v1/tracks/017PF4Q3l4DBUiWoXk4OWT,https://api.spotify.com/v1/audio-analysis/017PF4Q3l4DBUiWoXk4OWT,221820,4,81,Dua Lipa,Break My Heart,"[Intro]
Why men great 'til they gotta be great?
Woo!

[Verse 1]
I just took a DNA test, turns out I'm 100% that bitch
Even when I'm crying crazy
Yeah, I got boy problems, that's the human in me
Bling bling, then I solve 'em, that's the goddess in me
You coulda had a bad bitch, non-committal
Help you with your career just a little
You're 'posed to hold me down, but you're holding me back
And that's the sound of me not calling you back

[Chorus]
Why men great 'til they gotta be great? ('Til they gotta be great)
Don't text me, tell it straight to my face (Tell it straight to my face)
Best friend sat me down in the salon chair (Down in the salon chair)
Shampoo press, get you out of my hair
Fresh photos with the bomb lighting (With the bomb lighting)
New man on the Minnesota Vikings (Minnesota Vikings)
Truth hurts, needed something more exciting (Yee)
Bom bom bi dom bi dum bum bay (Eh, yeah, yeah, yeah)

[Verse 2]
You tried to break my heart?
Oh, that breaks my heart
That you thought you ever had it
No, you ain't from the start
Hey, I'm glad you're back with your bitch
I mean, who would wanna hide this?
I will never, ever, ever, ever, ever be your side chick
I put the sing in single
Ain't worried 'bout a ring on my finger
So you can tell your friend, ""Shoot your shot"" when you see him
It's okay, he already in my DMs

[Chorus]
Why men great 'til they gotta be great? ('Til they gotta be great)
Don't text me, tell it straight to my face (Tell it straight to my face)
Best friend sat me down in the salon chair (Down in the salon chair)
Shampoo press, get you out of my hair
Fresh photos with the bomb lighting (With the bomb lighting)
New man on the Minnesota Vikings (Minnesota Vikings)
Truth hurts, needed something more exciting (Yee)
Bom bom bi dom bi dum bum bay (Eh, yeah, yeah, yeah)

[Bridge]
I'ma hit you back in a minute (Yeah, yeah)
I don't play tag, bitch, I been it (One time)
We don't fuck with lies (Two times), we don't do goodbyes (Woo)
We just keep it pushing like ay-ay-ay
I'ma hit you back in a minute (Yeah, yeah)
I don't play tag, bitch, I been it (One time)
We don't fuck with lies (Two times), we don't do goodbyes (Woo)
We just keep it pushing like ay-ay-ay (Woo)

[Chorus]
Why men great 'til they gotta be great? ('Til they gotta be great)
Don't text me, tell it straight to my face (Tell it straight to my face)
Best friend sat me down in the salon chair (Down in the salon chair)
Shampoo press, get you out of my hair
Fresh photos with the bomb lighting (With the bomb lighting)
New man on the Minnesota Vikings (Minnesota Vikings)
Truth hurts, needed something more exciting (Yee)
Bom bom bi dom bi dum bum bay (Eh, yeah, yeah, yeah)

[Outro]
With the bomb lighting
Minnesota Vikings
Yee, eh, yeah, yeah, yeah",https://genius.com/Lizzo-truth-hurts-lyrics,7.387200934,5.11430926,1852.795392,0.223758864,-58.18464447,80.76884842,0.376653757,0.293253207,0.076917882,NA,0.118125632,1,31765060
2,01Ch5LzVStxCFPKkT1xg6k,0.733,0.578,0,-5.245,0,0.0417,0.0859,1.19E-06,0.403,0.447,142.028,audio_features,spotify:track:01Ch5LzVStxCFPKkT1xg6k,https://api.spotify.com/v1/tracks/01Ch5LzVStxCFPKkT1xg6k,https://api.spotify.com/v1/audio-analysis/01Ch5LzVStxCFPKkT1xg6k,222318,4,62,Travis Scott,sweet sweet,"[Intro]
(Whistling)

[Bridge]
'Cause you're sweet
Sak pasé? (It's lit)
Wah yah seh? (Wah yah seh?)
Run it up (Yah), all this cake (Yah, yah)
Bag it up (Yah), den come right away (Yah, yah!)
'Cause you're sweet (Yah, yah-yah!)
What's your status? (Yah)
Yah, might hit your address, if I'm on them Addys (Yah)
Jet right to you, I can't do no traffic (Skrrr, skrrr)
I can't do no lacking (Skrrr, skrrr)

[Chorus]
'Cause you're sweet—sweet—like cocoa
But all you wanna do is the coco (Yah)
Hangin' out with you is a no go (Yah, yah-yah, straight up)
'Cause you're sweet (Sweet, sweet), like cocoa
But all you wanna do is the coco (Sweet, sweet, sweet)
Hangin' out with you is a no go (Sweet, sweet, sweet)
'Cause you're sweet (Sweet)

[Verse 1]
Like my time, like my juice (Sweet, sweet)
We been downstairs in the basement with the moves (Sweet, yah)
Shout my town, shout my troops (Shout, shout)
Shout my jeweler, made my chain look like Froot Loops, yuh (It's lit)
Come get a taste, come get a scoop (Scoop)
I done made it out the hood through all the hoops (Hula hoops)
I done finally found a way to make the loot (Make the loot)
Link up all my niggas and my Jewels, yuh (High up)
Link up, link up, yuh, link up, pour my syrup (Yah)
Diamonds, yeah, they link up, link up
Go berserk, do some shit you think of (Yah, yah)
Lean, lean, lean, all this lean, lean, lean
We might lean, lean, lean (Oh)
Smoke all my shit (Shit)
Stop it, start again (Yah)

[Chorus]
'Cause you're sweet (Yah), like cocoa
But all you wanna do is the coco
Hangin' out with you is a no go

[Bridge]
'Cau-, 'cause sweet, yuh
Sak pasé? (Yah)
Wah yah seh? (Yah, yah)
Runnin' up (Yah), all this cake (Yah)
Bag it up (Bag it up), den come right away

[Verse 2]
When I ask who bigger (Yah)
Ain't tryna argue with ya, I'm tryna figure (Straight up)
Who you with, who your team, what your side? (Yah)
How you, how you, how you ride? (Skrrr, skrrr)
How you use me to survive? (Straight up)
Yuh, 'cause we up, lit at five (Oh)
At the crib goin' live, oh, so live (Yuh)
Eric hit the strippers, yuh, order V Live (Yah)
Order wings, told em' hold it (Hold it)

[Chorus]
'Cause you're sweet (It's lit), like cocoa (It's lit)
But all you wanna do is the coco (Yah, yah)
Hangin' out with you is a no go (Straight up)

[Outro]
'Cause you're sweet like cocoa
But all you wanna do is the coco
Hangin' out with you is a no go
'Cause you're sweet",https://genius.com/Travis-scott-sweet-sweet-lyrics,3.347511594,-1.046337958,1899.963617,0.26487278,-62.05582387,78.0876373,0.307565077,0.195406232,0.093072769,NA,0.064388456,1,19659575
3,02MWAaffLxlfxAUY7c5dvx,0.761,0.525,11,-6.9,1,0.0944,0.44,6.70E-06,0.0921,0.531,80.87,audio_features,spotify:track:02MWAaffLxlfxAUY7c5dvx,https://api.spotify.com/v1/tracks/02MWAaffLxlfxAUY7c5dvx,https://api.spotify.com/v1/audio-analysis/02MWAaffLxlfxAUY7c5dvx,238805,4,93,Glass Animals,Heat Waves,"[Intro]
(Last night, all I think about is you)
(Don't stop, baby, you can walk through)
(Don't want, baby, think about you)
(You know that I'm never gonna lose)
Road shimmer wigglin' the vision
Heat, heat waves, I'm swimmin' in a mirror
Road shimmer wigglin' the vision
Heat, heat waves, I'm swimmin' in a—

[Chorus]
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now

[Verse 1]
Usually, I put somethin' on TV
So we never think about you and me
But today, I see our reflections clearly
In Hollywood, layin' on the screen
You just need a better life than this
You need somethin' I can never give
Fake water all across the road
It's gone now, the night has come, but

[Chorus]
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now

[Verse 2]
You can't fight it, you can't breathe
You say somethin' so lovin', but
Now I gotta let you go
You'll be better off in someone new
I don't wanna be alone
You know it hurts me too
You look so broken when you cry
One more and then I say goodbye

[Chorus]
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now

[Bridge]
I just wonder what you're dreamin' of
When you sleep and smile so comfortable
I just wish that I could give you that
That look that's perfectly un-sad
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Heat waves been fakin' me out

[Chorus]
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now

[Outro]
Road shimmer wigglin' the vision
Heat, heat waves, I'm swimmin' in a mirror
Road shimmer wigglin' the vision
Heat, heat waves, I'm swimmin' in a mirror",https://genius.com/Glass-animals-heat-waves-lyrics,-4.871652144,-4.047908727,2063.946387,-0.026345609,-79.37967154,66.18372979,0.329865236,0.234518931,0.088991465,NA,0.069890076,1,2389371
4,02RA2qizz9IMxeUlbg5TOI,0.433,0.549,0,-8.752,0,0.373,0.57,0,0.117,0.329,79.907,audio_features,spotify:track:02RA2qizz9IMxeUlbg5TOI,https://api.spotify.com/v1/tracks/02RA2qizz9IMxeUlbg5TOI,https://api.spotify.com/v1/audio-analysis/02RA2qizz9IMxeUlbg5TOI,203465,1,51,SAINt JHN,Ransom (feat. 6LACK & Kehlani),"[Intro]
Told Lee he'd be a millionaire

[Verse 1: SAINt JHN]
Holidays in California, quite strange
The height change but the sight same
I'm just adjustin' to the price change
The truth is I'm just in a better price range
The Saint Laurents at the dice game
That's just fly talk, that's just sky slang
I'm just ballin', I'm ballin, I'm really ballin'
Strip club like I'm tryna win a Heisman
The applause first, then the spite came
Tryna kill my pain in the Sprite can
The top off in a strange way, I'm tryna fight fame

[Pre-Chorus: SAINt JHN]
Am I still sharin' my location with you?
Feels like I'm on probation with you
Too hard to have a rotation with you
I love you on occasion but you
Fuck it up way too much
Fuck it up way too much
You like to fight too much
You like to play too rough

[Chorus: SAINt JHN]
I like when you're short skirt and your heels
And you're not in your feels
I cover the bills
Oh, what a thrill, what a thrill
If you call and I don't reply
And you text and I just don't answer
It don't mean that I changed my mind
It just means that I don't pay ransom
You walk out and you don't say bye
And I don't wanna speak out of anger
I won't be held for ransom
I'm too handsome
Yeah

[Verse 2: 6LACK, Kehlani & 6LACK]
What you say on the way, tryna pray, have faith
From the temple, extra ordinary brain, gotta say, ayy
You look so excited, I can tell by your face
But to me it's just an ordinary day
You want me to take a vacation with you
You just better hope I stay patient with you
We gon' need some de-escalation, can you talk to me nice?
I got you a gift, but you fuck it up way too much
The situation way too us, won't peace like deuce up, why your dukes up?
I'm tryna drown my pain in a fuckin' two cup
Lost too many niggas, I ain't tryna lose touch

[Pre-Chorus: 6LACK, SAINt JHN, 6LACK, & Kehlani]
Am I still sharin' my location with you?
Feels like I'm on probation with you
Too hard to have a rotation with you
I love you on occasion but you
Fuck it up way too much
Fuck it up way too much
You like to fight too much
You like to play too rough

[Chorus: SAINt JHN, Kehlani & Both]
I like when you're short skirt and your heels
And you're not in your feels
I cover the bills
Oh, what a thrill, what a thrill
If you call and I don't reply
And you text and I just don't answer
It don't mean that I changed my mind
It just means that I don't pay ransom
You walk out and you don't say bye (Bye)
And I don't wanna speak out of anger
I won't be held for ransom
I'm too handsome",https://genius.com/Saint-jhn-ransom-lyrics,-2.932361882,-1.921479591,1718.639961,-0.249837366,-78.8846322,58.76332906,0.359744343,0.273531966,0.08628777,NA,0.083269692,1,5461039
7,03mMSLEJCPoGJwQhHpN5y0,0.653,0.869,5,-3.725,1,0.0382,0.128,2.20E-05,0.046,0.697,122.017,audio_features,spotify:track:03mMSLEJCPoGJwQhHpN5y0,https://api.spotify.com/v1/tracks/03mMSLEJCPoGJwQhHpN5y0,https://api.spotify.com/v1/audio-analysis/03mMSLEJCPoGJwQhHpN5y0,197347,4,72,Harry Styles,Treat People With Kindness,"[Intro]
Maybe, we can
Find a place to feel good
And we can treat people with kindness
Find a place to feel good

[Verse 1]
I've got a good feeling
I'm just takin' it all in
Floating up and dreamin'
Droppin' into the deep end

[Pre-Chorus]
And if we're here long enough
They'll sing a song for us
And we'll belong

[Chorus]
Maybe, we can
Find a place to feel good
And we can treat people with kindness
Find a place to feel good

[Verse 2]
Giving second chances
I don't need all the answers
Feeling good in my skin
I just keep on dancin'

[Pre-Chorus]
And if we're here long enough
We'll see it's all for us
And we'll belong

[Chorus]
Maybe, we can
Find a place to feel good
And we can treat people with kindness
Find a place to feel good

[Bridge]
And it's just another day (And it's just another day)
And if our friends all pass away (Oh-oh, oh-oh)
It's okay (It's okay, it's okay)
It's okay (It's okay, it's okay, yeah)
Hey!
Here we go now

[Chorus]
Maybe, we can
Find a place to feel good
And we can treat people with kindness
Find a place to feel good

[Outro]
All we ever want is automatic all the time
All we ever want is auto, auto all of the time
All we ever want is automatic all the time
All we ever want is auto, auto all of the time
Maybe, we can (All together now, one more time)
Find a place to feel good (Oh yeah)
And we can treat people with kindness (Just a little bit of kindness)
Find a place to feel good (Ow)",https://genius.com/Harry-styles-treat-people-with-kindness-lyrics,3.123570762,-0.604561508,984.7557985,0.472245001,-43.3229907,60.55168449,0.387874214,0.313758129,0.072797086,1.252258909,0.123046994,1,18747012
8,05bnEv2dpFzmGVLGdjD9UP,0.57,0.0279,1,-22.282,1,0.0588,0.859,0.0892,0.254,0.28,84.902,audio_features,spotify:track:05bnEv2dpFzmGVLGdjD9UP,https://api.spotify.com/v1/tracks/05bnEv2dpFzmGVLGdjD9UP,https://api.spotify.com/v1/audio-analysis/05bnEv2dpFzmGVLGdjD9UP,163840,4,67,XXXTENTACION,Orlando,"[Verse]
The pain in my heart just won't end
The words that I find just don't seem to compare
Awaiting my death in the end
Alone, I must seek out the end to begin
So nobody wants death
'Cause nobody wants life to end
I'm the only one stressed
And the only one tired of having fake friends
Put the noose on my neck
And the hole in my back, again
I've been waiting on death with a smile on my face
So this is the end
Waste of tears
Waste of years and months
Faced my fears
Loving her for once
Hurt me
Break my heart
Worthless
Can't keep love at all
Turning
Twist myself
Worthless
Can't keep love at all, at all",https://genius.com/Xxxtentacion-orlando-lyrics,-9.467463338,-4.576886969,1804.091667,-0.724709878,-99.10392747,46.83614226,0.235348662,0.11835121,0.088750419,NA,0.036872156,1,34231483
9,05Eq6SWneoZYvKQbm2xN25,0.285,0.787,9,-3.641,0,0.036,0.0145,0.00043,0.817,0.636,175.693,audio_features,spotify:track:05Eq6SWneoZYvKQbm2xN25,https://api.spotify.com/v1/tracks/05Eq6SWneoZYvKQbm2xN25,https://api.spotify.com/v1/audio-analysis/05Eq6SWneoZYvKQbm2xN25,183227,4,55,Bradley Cooper,Alibi,"Don't ask me 'bout tomorrow
Or tell me 'bout my past
My heart is yours to borrow
Ain't nothin' meant to last

I ain't lyin'
I don't lie
Without an alibi

Don't ask too many questions
You don't want answers to
You don't like my direction
Hell, I won't follow you

I ain't lyin'
I don't lie
Without an alibi

I told my dyin' daddy that I had to run away
Looked him in the eye
Said there ain't no other way
So woman if I tell you that I love you, be okay

Cause I ain't lyin'
I don't lie
Without an alibi

I love you in the mornin' and when the day is done
But if you want my freedom you know I'm bound to run

I ain't lyin'
I don't lie
Without an alibi

I told my dyin' daddy that I had to run away
Looked him in the eye
Said there ain't no other way
So woman if I tell you that I love you, be okay

Cause I ain't lyin'
I don't lie
Without an alibi",https://genius.com/Bradley-cooper-alibi-lyrics,4.970743262,0.034195402,1043.942246,0.512075747,-40.84894392,66.1480984,0.323237773,0.234692516,0.076031144,NA,0.090422307,1,194822
10,05JtBVWRtSzqLoj7jj30kn,0.423,0.613,0,-7.577,1,0.0768,0.9,0.00159,0.328,0.136,74.695,audio_features,spotify:track:05JtBVWRtSzqLoj7jj30kn,https://api.spotify.com/v1/tracks/05JtBVWRtSzqLoj7jj30kn,https://api.spotify.com/v1/audio-analysis/05JtBVWRtSzqLoj7jj30kn,57680,4,55,Conan Gray,(Can We Be Friends?),"[Verse 1]
Could you be my best friend?
Let's hang out every weekend
We're driving every night
Stare at people that we like
Could you be my best friend?
I'll tell you all my secrets
I'll tell you all the times
That I wished that I could die

[Verse 2]
And if anybody fucks with you
They fuck with me
So, if anybody fucks with you
I'll knock their teeth out (Yeah)
Could you be my best friend?
Can we be friends?
Could you be my best friend?
Can we be friends?",https://genius.com/Conan-gray-can-we-be-friends-lyrics,9.164366796,0.492261556,1631.237502,0.627576636,-46.57960121,87.84211127,0.283360908,0.174091842,0.086076287,NA,0.066808179,1,4854727
11,05mDaV9Vb3wrzjF6OPZnhq,0.617,0.684,0,-3.618,1,0.0439,0.0545,0,0.104,0.295,132.113,audio_features,spotify:track:05mDaV9Vb3wrzjF6OPZnhq,https://api.spotify.com/v1/tracks/05mDaV9Vb3wrzjF6OPZnhq,https://api.spotify.com/v1/audio-analysis/05mDaV9Vb3wrzjF6OPZnhq,150867,4,74,Post Malone,Saint-Tropez,"[Intro]
Ooh, yeah, yeah, hey

[Chorus]
Such a long time (Wow)
I've been waitin', I've been waitin' for a long time (Yeah)
Such a long time
I've been waitin', I've been waitin' for a long time (Yeah)
Such a long time (Ooh)

[Verse 1]
Ooh, this shit bliss, I'm so rich (Turnt as shit, ooh)
Abs like Abercrombie Fitch (Damn, ooh)
Mille, on my (Whoa, wrist, wrist)
Versace boxers on my dick (On my dick, damn)
Bud Light runnin' through my piss (Ooh)
On a yacht, 50 meters, it's offish (It's official)
50 carats on my fist (On my fist)
The roof go down when I hit switch (Ooh, bitch)
I money ball like Bradley Pitt (Bradley Pitt, ayy)
I worked so hard for all this shit (All this shit)
Pumpin' out classics (Ooh)
In the Batmobile, goin' bat shit

[Chorus]
Such a long time (Damn)
I've been waitin', I've been waitin' for a long time (Such a long time)
Such a long time (Such a long time)
I've been waitin', I've been waitin' for a long time (For a long time)
Such a long time

[Verse 2]
I'm in Saint-Tropez, I had to check wrist (Wow)
I just bought my girl a new necklace (A new necklace)
One, two, three, four, five, six (Five, six)
I'll take 'em all, don't matter what the price is (What the price is)
I said I'm sorry mama for my vices (For my vices)
You'll never understand what my life is (My life is)
One, two, three, four, five, six (Damn)
Shit, I'm checking off my bucket list (My bucket list)
You try to give advice, I don't need it
I've been doin' what I want since fetus
What you call a holiday (Ooh), I call another day (Yeah)
And I ain't ever stoppin', no apologies

[Chorus]
Such a long time (Such a long time)
I've been waitin', I've been waitin' for a long time (Such a long time)
Such a long time (Such a long time)
I've been waitin', I've been waitin' for a long time (A long time)
Such a long time

[Outro]
I'm in Saint-Tropez, I had to check wrist",https://genius.com/Post-malone-saint-tropez-lyrics,10.7329402,6.718639349,1673.326764,0.268767092,-48.79949649,81.88333204,0.3070016,0.206431785,0.084173014,NA,0.083535427,1,35717401
12,05ufCucv6Z1oLMWeS8XapR,0.723,0.615,11,-7.949,1,0.0524,0.0323,8.84E-06,0.112,0.449,157.087,audio_features,spotify:track:05ufCucv6Z1oLMWeS8XapR,https://api.spotify.com/v1/tracks/05ufCucv6Z1oLMWeS8XapR,https://api.spotify.com/v1/audio-analysis/05ufCucv6Z1oLMWeS8XapR,141954,4,62,Kali Uchis,¡aquí yo mando!,"[Pre-Chorus: Kali Uchis]
I'm your little mamacita (-cita)
You do everything that I say, yeah
If you're with me, only I call the shots, yeah
Here it's not how and when you want it

[Chorus: Kali Uchis]
I command, here I call the shots
If you want to be with me get used to it (Yeah-yeah, eh)
So many others are looking for me
And if you don't like it, someone else is already calling

[Verse 1: Kali Uchis]
I make the decisions, I pick the positions
You can have the balls, but I'm the one who wears the pants
No, no, she can't do it like me
Throw it down, wishin' you could see the look upon your face (No, no, no)

[Pre-Chorus: Kali Uchis]
Eh, I'm your little mamacita (Mamacita)
You do everything that I say, yeah
If you're with me, only I call the shots, yeah
Here it's not how and when you want it

[Chorus: Kali Uchis]
I command, here I call the shots (I'm-I'm)
I know I'm your obsession like Romeo Santos (Romeo Santos)
So many others are looking for me (No, no)
And if you don't like it, someone else —

[Verse 2: Rico Nasty]
I ain't 'bout to play about me
Do what I want, don't need a thing
Boss bitch you know where I be
Classy (Nasty) but still your freak, bae
They can't do it like me (So nasty)
No, they can't do it like me, bae
I know I ride that D, same way I did this beat, bae
I handle business, I'm bossy, I want diamonds, I'm flossy
They wanna know what it cost me, those bitches, I'm tired of
You thought that I was easy, I'm a bitch with class (Yeah-yeah)
No, I don't care if they watchin', I'm more expensive than Versace (Woh)

[Bridge: Kali Uchis]
I light that fire wherever I go
And they want to get to me, but I shut it down
Later, later, we'll see later, yeah
Said if you're lucky then I'll see you later

[Pre-Chorus: Kali Uchis]
La-la-la-la
Mmm, mamacita (La-la-la-la)
You do everything that I say, yeah
If you're with me, only I call the shots, yeah
Here it's not how and when you want it

[Chorus: Kali Uchis]
I command, here I call the shots (I'm-I'm)
I know I'm your obsession like Romeo Santos (Romeo Santos)
So many others are looking for me (No, no)
And if you don't like it, someone else is already calling (What, what?, eh)",https://genius.com/Kali-uchis-and-rico-nasty-aqui-yo-mando-lyrics,1.937484282,0.257123848,1621.753665,0.0655854,-61.6381916,67.24770811,0.294930533,0.18824007,0.093244508,NA,0.049107115,1,2539472
