,id,artist_name,song_name,cleaned_lyrics,popularity
1,017PF4Q3l4DBUiWoXk4OWT,Dua Lipa,Break My Heart,why men great until they got to be great woo just took dna test turns out am that bitch even when am crying crazy yeah got boy problems that is the human in me bling bling then solve them that is the goddess in me you coulda had bad bitch noncommittal help you with your career just little you are posed to hold me down but you are holding me back and that is the sound of me not calling you back why men great until they got to be great until they got to be great do not text me tell it straight to my face tell it straight to my face best friend sat me down in the salon chair down in the salon chair shampoo press get you out of my hair fresh photos with the bomb lighting with the bomb lighting new man on the minnesota vikings minnesota vikings truth hurts needed something more exciting yee bom bom bi dom bi dum bum bay eh yeah yeah yeah you tried to break my heart oh that breaks my heart that you thought you ever had it no you are not from the start hey am glad you are back with your bitch mean who would want to hide this will never ever ever ever ever be your side chick put the sing in single are not worried bout ring on my finger so you can tell your friend shoot your shot when you see him it is okay he already in my dms why men great until they got to be great until they got to be great do not text me tell it straight to my face tell it straight to my face best friend sat me down in the salon chair down in the salon chair shampoo press get you out of my hair fresh photos with the bomb lighting with the bomb lighting new man on the minnesota vikings minnesota vikings truth hurts needed something more exciting yee bom bom bi dom bi dum bum bay eh yeah yeah yeah am about to hit you back in minute yeah yeah do not play tag bitch been it one time we do not fuck with lies two times we do not do goodbyes woo we just keep it pushing like ayayay am about to hit you back in minute yeah yeah do not play tag bitch been it one time we do not fuck with lies two times we do not do goodbyes woo we just keep it pushing like ayayay woo why men great until they got to be great until they got to be great do not text me tell it straight to my face tell it straight to my face best friend sat me down in the salon chair down in the salon chair shampoo press get you out of my hair fresh photos with the bomb lighting with the bomb lighting new man on the minnesota vikings minnesota vikings truth hurts needed something more exciting yee bom bom bi dom bi dum bum bay eh yeah yeah yeah with the bomb lighting minnesota vikings yee eh yeah yeah yeah,81
2,01Ch5LzVStxCFPKkT1xg6k,Travis Scott,sweet sweet,whistling because you are sweet sak pas it is lit wah yah seh wah yah seh run it up yah all this cake yah yah bag it up yah den come right away yah yah because you are sweet yah yahyah what is your status yah yah might hit your address if am on them addys yah jet right to you can not do no traffic skrrr skrrr can not do no lacking skrrr skrrr because you are sweetsweetlike cocoa but all you want to do is the coco yah hangin out with you is no go yah yahyah straight up because you are sweet sweet sweet like cocoa but all you want to do is the coco sweet sweet sweet hangin out with you is no go sweet sweet sweet because you are sweet sweet like my time like my juice sweet sweet we been downstairs in the basement with the moves sweet yah shout my town shout my troops shout shout shout my jeweler made my chain look like froot loops yuh it is lit come get taste come get scoop scoop done made it out the hood through all the hoops hula hoops done finally found way to make the loot make the loot link up all my niggas and my jewels yuh high up link up link up yuh link up pour my syrup yah diamonds yeah they link up link up go berserk do some shit you think of yah yah lean lean lean all this lean lean lean we might lean lean lean oh smoke all my shit shit stop it start again yah because you are sweet yah like cocoa but all you want to do is the coco hangin out with you is no go cau because sweet yuh sak pas yah wah yah seh yah yah runnin up yah all this cake yah bag it up bag it up den come right away when ask who bigger yah are not tryna argue with ya am tryna figure straight up who you with who your team what your side yah how you how you how you ride skrrr skrrr how you use me to survive straight up yuh because we up lit at five oh at the crib going live oh so live yuh eric hit the strippers yuh order live yah order wings told them hold it hold it because you are sweet it is lit like cocoa it is lit but all you want to do is the coco yah yah hangin out with you is no go straight up because you are sweet like cocoa but all you want to do is the coco hangin out with you is no go because you are sweet,62
3,02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,last night all think about is you do not stop baby you can walk through do not want baby think about you you know that am never going to lose road shimmer wigglin the vision heat heat waves am swimmin in mirror road shimmer wigglin the vision heat heat waves am swimmin in sometimes all think about is you late nights in the middle of june heat waves been fakin me out can not make you happier now sometimes all think about is you late nights in the middle of june heat waves been fakin me out can not make you happier now usually put something on tv so we never think about you and me but today see our reflections clearly in hollywood layin on the screen you just need better life than this you need something can never give fake water all across the road it is gone now the night has come but sometimes all think about is you late nights in the middle of june heat waves been fakin me out can not make you happier now you can not fight it you can not breathe you say something so loving but now got to let you go you will be better off in someone new do not want to be alone you know it hurts me too you look so broken when you cry one more and then say goodbye sometimes all think about is you late nights in the middle of june heat waves been fakin me out can not make you happier now sometimes all think about is you late nights in the middle of june heat waves been fakin me out can not make you happier now just wonder what you are dreamin of when you sleep and smile so comfortable just wish that could give you that that look that is perfectly unsad sometimes all think about is you late nights in the middle of june heat waves been fakin me out heat waves been fakin me out sometimes all think about is you late nights in the middle of june heat waves been fakin me out can not make you happier now sometimes all think about is you late nights in the middle of june heat waves been fakin me out can not make you happier now road shimmer wigglin the vision heat heat waves am swimmin in mirror road shimmer wigglin the vision heat heat waves am swimmin in mirror,93
4,02RA2qizz9IMxeUlbg5TOI,SAINt JHN,Ransom (feat. 6LACK & Kehlani),told lee he would be millionaire holidays in california quite strange the height change but the sight same am just adjustin to the price change the truth is am just in better price range the saint laurents at the dice game that is just fly talk that is just sky slang am just ballin am ballin am really ballin strip club like am tryna win heisman the applause first then the spite came tryna kill my pain in the sprite can the top off in strange way am tryna fight fame am still sharin my location with you feels like am on probation with you too hard to have rotation with you love you on occasion but you fuck it up way too much fuck it up way too much you like to fight too much you like to play too rough like when you are short skirt and your heels and you are not in your feels cover the bills oh what thrill what thrill if you call and do not reply and you text and just do not answer it do not mean that changed my mind it just means that do not pay ransom you walk out and you do not say bye and do not want to speak out of anger will not be held for ransom am too handsome yeah what you say on the way tryna pray have faith from the temple extra ordinary brain got to say ayy you look so excited can tell by your face but to me it is just an ordinary day you want me to take vacation with you you just better hope stay patient with you we gon need some deescalation can you talk to me nice got you gift but you fuck it up way too much the situation way too us will not peace like deuce up why your dukes up am tryna drown my pain in fuckin two cup lost too many niggas are not tryna lose touch am still sharin my location with you feels like am on probation with you too hard to have rotation with you love you on occasion but you fuck it up way too much fuck it up way too much you like to fight too much you like to play too rough like when you are short skirt and your heels and you are not in your feels cover the bills oh what thrill what thrill if you call and do not reply and you text and just do not answer it do not mean that changed my mind it just means that do not pay ransom you walk out and you do not say bye bye and do not want to speak out of anger will not be held for ransom am too handsome,51
7,03mMSLEJCPoGJwQhHpN5y0,Harry Styles,Treat People With Kindness,maybe we can find place to feel good and we can treat people with kindness find place to feel good have got good feeling am just takin it all in floating up and dreamin droppin into the deep end and if we are here long enough they will sing song for us and we will belong maybe we can find place to feel good and we can treat people with kindness find place to feel good giving second chances do not need all the answers feeling good in my skin just keep on dancin and if we are here long enough we will see it is all for us and we will belong maybe we can find place to feel good and we can treat people with kindness find place to feel good and it is just another day and it is just another day and if our friends all pass away ohoh ohoh it is okay it is okay it is okay it is okay it is okay it is okay yeah hey here we go now maybe we can find place to feel good and we can treat people with kindness find place to feel good all we ever want is automatic all the time all we ever want is auto auto all of the time all we ever want is automatic all the time all we ever want is auto auto all of the time maybe we can all together now one more time find place to feel good oh yeah and we can treat people with kindness just little bit of kindness find place to feel good ow,72
8,05bnEv2dpFzmGVLGdjD9UP,XXXTENTACION,Orlando,the pain in my heart just will not end the words that find just do not seem to compare awaiting my death in the end alone must seek out the end to begin so nobody wants death because nobody wants life to end am the only one stressed and the only one tired of having fake friends put the noose on my neck and the hole in my back again have been waiting on death with smile on my face so this is the end waste of tears waste of years and months faced my fears loving her for once hurt me break my heart worthless can not keep love at all turning twist myself worthless can not keep love at all at all,67
9,05Eq6SWneoZYvKQbm2xN25,Bradley Cooper,Alibi,do not ask me bout tomorrow or tell me bout my past my heart is yours to borrow are not nothing meant to last are not lyin do not lie without an alibi do not ask too many questions you do not want answers to you do not like my direction hell will not follow you are not lyin do not lie without an alibi told my dyin daddy that had to run away looked him in the eye said there are not no other way so woman if tell you that love you be okay because are not lyin do not lie without an alibi love you in the mornin and when the day is done but if you want my freedom you know am bound to run are not lyin do not lie without an alibi told my dyin daddy that had to run away looked him in the eye said there are not no other way so woman if tell you that love you be okay because are not lyin do not lie without an alibi,55
10,05JtBVWRtSzqLoj7jj30kn,Conan Gray,(Can We Be Friends?),could you be my best friend let us hang out every weekend we are driving every night stare at people that we like could you be my best friend will tell you all my secrets will tell you all the times that wished that could die and if anybody fucks with you they fuck with me so if anybody fucks with you will knock their teeth out yeah could you be my best friend can we be friends could you be my best friend can we be friends,55
11,05mDaV9Vb3wrzjF6OPZnhq,Post Malone,Saint-Tropez,ooh yeah yeah hey such long time wow have been waitin have been waitin for long time yeah such long time have been waitin have been waitin for long time yeah such long time ooh ooh this shit bliss am so rich turnt as shit ooh abs like abercrombie fitch damn ooh mille on my whoa wrist wrist versace boxers on my dick on my dick damn bud light runnin through my piss ooh on yacht meters it is offish it is official carats on my fist on my fist the roof go down when hit switch ooh bitch money ball like bradley pitt bradley pitt ayy worked so hard for all this shit all this shit pumpin out classics ooh in the batmobile going bat shit such long time damn have been waitin have been waitin for long time such long time such long time such long time have been waitin have been waitin for long time for long time such long time am in sainttropez had to check wrist wow just bought my girl new necklace new necklace one two three four five six five six will take them all do not matter what the price is what the price is said am sorry mama for my vices for my vices you will never understand what my life is my life is one two three four five six damn shit am checking off my bucket list my bucket list you try to give advice do not need it have been doing what want since fetus what you call holiday ooh call another day yeah and are not ever stoppin no apologies such long time such long time have been waitin have been waitin for long time such long time such long time such long time have been waitin have been waitin for long time long time such long time am in sainttropez had to check wrist,74
12,05ufCucv6Z1oLMWeS8XapR,Kali Uchis,¡aquí yo mando!,am your little mamacita cita you do everything that say yeah if you are with me only call the shots yeah here it is not how and when you want it command here call the shots if you want to be with me get used to it yeahyeah eh so many others are looking for me and if you do not like it someone else is already calling make the decisions pick the positions you can have the balls but am the one who wears the pants no no she can not do it like me throw it down wishin you could see the look upon your face no no no eh am your little mamacita mamacita you do everything that say yeah if you are with me only call the shots yeah here it is not how and when you want it command here call the shots ami am know am your obsession like romeo santos romeo santos so many others are looking for me no no and if you do not like it someone else are not bout to play about me do what want do not need thing boss bitch you know where be classy nasty but still your freak bae they can not do it like me so nasty no they can not do it like me bae know ride that same way did this beat bae handle business am bossy want diamonds am flossy they want to know what it cost me those bitches am tired of you thought that was easy am bitch with class yeahyeah no do not care if they watchin am more expensive than versace woh light that fire wherever go and they want to get to me but shut it down later later we will see later yeah said if you are lucky then will see you later lalalala mmm mamacita lalalala you do everything that say yeah if you are with me only call the shots yeah here it is not how and when you want it command here call the shots ami am know am your obsession like romeo santos romeo santos so many others are looking for me no no and if you do not like it someone else is already calling what what eh,62
