,campaignID,date,lettersSent,CostUnit
0,153,13/12/2004,6873,0.17
1,154,01/01/2005,7656,0.3
2,180,18/01/2005,9933,0.2
3,433,29/01/2005,7448,0.59
4,476,12/02/2005,6605,0.51
5,498,22/02/2005,5441,0.2
6,536,12/03/2005,8417,0.3
7,574,29/03/2005,8986,0.4
8,584,17/04/2005,8246,0.29
9,606,02/05/2005,8120,0.37
10,627,15/05/2005,5193,0.48
11,663,26/05/2005,5244,0.31
12,669,09/06/2005,18230,0.52
13,711,28/06/2005,17976,0.02
14,723,09/07/2005,22810,0.0
15,767,20/07/2005,24950,0.14
16,768,08/08/2005,30031,0.25
17,796,18/08/2005,15716,0.41
18,804,03/09/2005,21712,0.1
19,816,18/09/2005,28764,0.32
20,850,07/10/2005,38052,0.23
21,858,21/10/2005,31961,0.31
22,899,09/11/2005,20290,0.14
23,901,25/11/2005,38859,0.22
24,930,13/12/2005,39783,0.08
25,954,29/12/2005,36151,0.51
26,968,16/01/2006,7682,0.19
27,979,31/01/2006,37626,0.17
28,980,14/02/2006,36616,0.02
29,1000,24/02/2006,33015,0.32
30,1026,13/03/2006,38380,0.2
31,1028,29/03/2006,38431,0.06
32,1034,17/04/2006,34657,0.06
33,1058,06/05/2006,32260,0.45
34,1074,20/05/2006,39037,0.51
35,1101,08/06/2006,30593,0.28
36,1148,20/06/2006,35119,0.41
37,1149,30/06/2006,32113,0.04
38,1153,18/07/2006,9496,0.3
39,1181,06/08/2006,38342,0.1
40,1185,21/08/2006,34620,0.3
41,1207,31/08/2006,34719,0.41
42,1212,19/09/2006,36619,0.5
43,1218,04/10/2006,39806,0.3
44,1235,23/10/2006,24934,0.1
45,1245,02/11/2006,37662,0.2
46,1248,18/11/2006,35984,0.3
47,1280,06/12/2006,34003,0.19
48,1316,17/12/2006,38326,0.5
49,1317,05/01/2007,36898,0.12
50,1331,19/01/2007,9196,0.04
51,1338,07/02/2007,31051,0.34
52,1343,26/02/2007,25207,0.21
53,1374,17/03/2007,23399,0.5
54,1377,02/04/2007,38426,0.31
55,1397,21/04/2007,28098,0.3
56,1400,07/05/2007,36693,0.33
57,1424,17/05/2007,27178,0.5
58,1428,02/06/2007,36013,0.51
59,1465,12/06/2007,32766,0.41
60,1489,27/06/2007,32381,0.3
61,1490,07/07/2007,31132,0.2
62,1513,27/07/2007,36935,0.11
63,1529,09/08/2007,38283,0.31
64,1544,26/08/2007,35109,0.09
65,1556,07/09/2007,35868,0.6
66,1568,19/09/2007,34473,0.21
67,1577,09/10/2007,34636,0.31
68,1601,28/10/2007,23092,0.61
69,1615,07/11/2007,39105,0.07
70,1626,24/11/2007,38015,0.21
71,1634,08/12/2007,34080,0.21
72,1636,27/12/2007,35839,0.19
73,1663,06/01/2008,34984,0.3
74,1664,23/01/2008,35136,0.2
75,1678,11/02/2008,6137,0.56
76,1698,21/02/2008,30554,0.18
77,1699,07/03/2008,34837,0.3
78,1736,17/03/2008,32144,0.21
79,1739,05/04/2008,37408,0.3
80,1755,24/04/2008,35908,0.21
81,1775,10/05/2008,36419,0.3
82,1778,25/05/2008,30558,0.41
83,1790,04/06/2008,35199,0.5
84,1808,22/06/2008,39664,0.61
85,1843,07/07/2008,38921,0.61
86,1844,27/07/2008,34019,0.14
87,1851,07/08/2008,39826,0.11
88,1861,27/08/2008,31041,0.12
89,1875,15/09/2008,39586,0.51
90,1878,25/09/2008,39575,0.6
91,1903,07/10/2008,33468,0.21
92,1904,18/10/2008,31811,0.17
93,1917,29/10/2008,33576,0.4
94,1929,10/11/2008,36639,0.31
